case_id,activity,timestamp,resource,duration_ms
INV-001,Factuur ontvangen,2024-01-08 09:02:00,systeem,500
INV-001,Factuur registreren,2024-01-08 09:15:00,anne.smit,180000
INV-001,Bedrag controleren,2024-01-08 09:45:00,anne.smit,300000
INV-001,Goedkeuring aanvragen,2024-01-08 10:30:00,anne.smit,60000
INV-001,Goedkeuring verleend,2024-01-09 11:00:00,mark.jansen,120000
INV-001,Betaling aanmaken,2024-01-09 11:30:00,anne.smit,240000
INV-001,Betaling verstuurd,2024-01-09 14:00:00,systeem,1000
INV-002,Factuur ontvangen,2024-01-08 10:05:00,systeem,500
INV-002,Factuur registreren,2024-01-08 10:20:00,tom.bakker,210000
INV-002,Bedrag controleren,2024-01-08 11:00:00,tom.bakker,480000
INV-002,Duplicaat gedetecteerd,2024-01-08 12:00:00,tom.bakker,60000
INV-002,Factuur afgewezen,2024-01-08 12:30:00,tom.bakker,90000
INV-003,Factuur ontvangen,2024-01-09 08:55:00,systeem,500
INV-003,Factuur registreren,2024-01-09 09:10:00,anne.smit,150000
INV-003,Bedrag controleren,2024-01-09 09:35:00,anne.smit,270000
INV-003,Goedkeuring aanvragen,2024-01-09 10:10:00,anne.smit,60000
INV-003,Goedkeuring geweigerd,2024-01-10 09:00:00,petra.vries,180000
INV-003,Factuur herzien,2024-01-10 10:00:00,anne.smit,3600000
INV-003,Bedrag controleren,2024-01-10 11:00:00,anne.smit,300000
INV-003,Goedkeuring aanvragen,2024-01-10 11:30:00,anne.smit,60000
INV-003,Goedkeuring verleend,2024-01-11 10:00:00,petra.vries,120000
INV-003,Betaling aanmaken,2024-01-11 10:30:00,anne.smit,240000
INV-003,Betaling verstuurd,2024-01-11 13:00:00,systeem,1000
INV-004,Factuur ontvangen,2024-01-09 14:30:00,systeem,500
INV-004,Factuur registreren,2024-01-09 14:45:00,tom.bakker,120000
INV-004,Bedrag controleren,2024-01-09 15:05:00,tom.bakker,360000
INV-004,Goedkeuring aanvragen,2024-01-09 16:00:00,tom.bakker,60000
INV-004,Goedkeuring verleend,2024-01-10 09:30:00,mark.jansen,90000
INV-004,Betaling aanmaken,2024-01-10 10:00:00,tom.bakker,180000
INV-004,Betaling verstuurd,2024-01-10 12:00:00,systeem,1000
INV-005,Factuur ontvangen,2024-01-10 09:00:00,systeem,500
INV-005,Factuur registreren,2024-01-10 09:20:00,anne.smit,240000
INV-005,Bedrag controleren,2024-01-10 10:00:00,anne.smit,600000
INV-005,Goedkeuring aanvragen,2024-01-10 10:30:00,anne.smit,60000
INV-005,Goedkeuring verleend,2024-01-13 08:45:00,mark.jansen,150000
INV-005,Betaling aanmaken,2024-01-13 09:00:00,anne.smit,300000
INV-005,Betaling verstuurd,2024-01-13 11:30:00,systeem,1000
INV-006,Factuur ontvangen,2024-01-10 11:00:00,systeem,500
